fecha,ultimo,apertura,maximo,minimo
2011-08-15,20067.3900,19940.7500,20110.9500,19931.3600
2011-08-16,19772.0000,20060.1300,20069.2300,19725.3900
2011-08-17,19980.0200,19780.2600,20068.1000,19777.9000
2011-08-18,19516.1400,19984.0400,19984.0400,19416.3900
2011-08-19,19378.1200,19513.4300,19604.9200,19322.8600
2011-08-22,19388.5700,19398.1400,19505.8800,19363.3800
2011-08-23,19488.4500,19392.6900,19503.0300,19343.6900
2011-08-24,19502.8600,19486.5600,19521.8800,19443.2600
2011-08-25,19475.4400,19498.0900,19532.1800,19422.5300
2011-08-26,19795.9400,19477.9700,19808.6000,19442.0000
2011-08-29,20019.9000,19798.2500,20025.5600,19798.2500
2011-08-31,20697.1100,19999.9700,20707.8200,19999.9700
2011-09-01,20639.1800,20686.3500,20715.4400,20605.0100
2011-09-02,20443.5600,20727.0800,20759.4200,20420.8400
2011-09-05,20108.4100,20465.5700,20478.3000,20046.9200
2011-09-06,19931.2900,20108.8400,20111.2800,19839.5700
2011-09-07,20134.7600,19926.0000,20134.7600,19923.0900
2011-09-08,20077.5300,20130.4400,20143.1600,20042.3100
2011-09-09,19906.5500,20078.1900,20084.4500,19871.2400
2011-09-12,19939.7700,19896.0300,19960.4100,19778.8600
2011-09-13,19980.8500,19933.5800,19980.8500,19873.1400
2011-09-14,20179.6900,19979.6200,20219.1800,19922.2100
2011-09-15,20426.7900,20171.5700,20426.7900,20162.8800
2011-09-16,20573.0700,20417.5200,20587.3200,20416.2600
2011-09-19,20321.0900,20562.9000,20577.1800,20231.5500
2011-09-20,20305.7400,20312.9800,20430.5200,20261.6000
2011-09-21,19933.3200,20313.5100,20356.7100,19933.1300
2011-09-22,19011.8800,19977.7200,19981.5300,18948.0300
2011-09-23,18813.8200,19007.5400,19114.7400,18753.1900
2011-09-26,18694.2600,18807.5700,18807.5700,18519.2600
2011-09-27,19134.4300,18720.7900,19289.0000,18720.7900
2011-09-28,18543.9300,19134.4300,19150.7000,18543.9300
2011-09-29,18435.7900,18568.4800,18585.9400,18406.6600
